Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår,Sphericity (mesh),Fill-ratio (mesh),Inertia-ratio (mesh),"Kompleksitet (mesh, log10 v/a)",Konveks hylster-volum (m³)
Maleri,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2007.0006_bguw.png,1998.0,"Maling, Metall, Tekstil, Tre","maling på vegg, stol, klær",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2007.0006,NMK.2007.0006,,,1998.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2007.0006.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=32202.tif&size=full,,Kjøpt 2007,,Postmodernisme,,,(1998),,,Stol,1900-talet,0.8587797801277177,0.5793200152938887,0.4840227536801195,4.707051834794783,1.6759075367341436
Cosmos,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2008.0005_bguw.png,1997.0,"Kryssfiner, Stål","Formet, lakkert kryssfinèrsete og rygglene trukket i syntetstoff på ramme av stålrør.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2008.0005,NMK.2008.0005,,,1997.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2008.0005.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=30977.tif&size=full,"Design, Møbel",Gave 2008,,Postmodernisme,"Formbøying, Skruing, Sveising",39.0,1997,53.0,80.0,Stol,1900-talet,0.7925083951938222,0.6553951555225257,0.5126202156335508,5.464577338023689,0.1101937759714085
Kiss,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2008.0006_bguw.png,1998.0,"Plast, Stål","Identiske, formpresset PU (polyuretan) sete og rygg på understell av mattede stålrør.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2008.0006,NMK.2008.0006,,,1998.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2008.0006.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=52206.tif&size=full,"Design, Møbel",Gave 2008,83.0,Postmodernisme,,39.0,1998,59.0,83.0,Stol,1900-talet,0.800868098758595,0.6140262790513153,0.4877163811627976,5.427760633622471,0.1175617670212988
Medea,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2008.0110_bguw.png,1955.0,"Kryssfiner, Plast, Stål","Sete i formbøyd, lakkert og laminert tre, understell av stålrørsben.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2008.0110,NMK.2008.0110,,,1955.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2008.0110.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=32063.tif&size=full,"Design, Møbel",Kjøp 2008,83.0,Etterkrigsmodernisme,"Formbøying, Skruing",47.0,1955,45.0,83.0,Stol,1900-talet,0.814399073011073,0.5654717111083954,0.4246764565553139,5.469142054303764,0.0915889157995619
Superleggera,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2008.0111_bguw.png,1957.0,"Ask, Palme",Stolpestol med flettet rottingsete,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2008.0111,NMK.2008.0111,,,1957.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2008.0111.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=23018.tif&size=full,"Design, Møbel",Kjøp 2008,,Modernisme,Fletting,40.0,1957 (design 1951),45.0,83.0,Stol,1900-talet,0.7752285921989466,0.7445454140469537,0.3796763649278232,5.395801945599663,0.0880400400364608
Panton Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2008.0118_bguw.png,2008.0,Plast,Helstøpt injeksjonsformet plast.,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2008.0118,NMK.2008.0118,,,2008.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2008.0118.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=30969.tif&size=full,"Design, Møbel",Gave 2008,83.0,Funksjonalisme,,50.0,2008 (design 1959/60),60.0,83.0,Stol,2000-talet,0.8248370684907441,0.5539160278309793,0.4605693481442728,5.44442221091798,0.1165115249181543
D-stol,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2009.0087_bguw.png,1950.0,"Eik, Messing, Ull","Eik med detaljer i messing, puter polstret og trukket i ullstoff",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2009.0087,NMK.2009.0087,"Os, Bergen",,1960.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2009.0087.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=23010.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2009,,Modernisme,,56.0,Ca. 1950,54.0,78.0,Stol,1900-talet,0.843247265664305,0.7850110500111911,0.6121907955923562,5.47277306715296,0.1802841697080186
Dock high,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2009.0116_bguw.png,2002.0,"Eik, Plast, Stål","Stolskall i formpresset laminert eikefiner, med understell i stål.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2009.0116,NMK.2009.0116,Danmark,,2002.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2009.0116.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=22866.tif&size=full,"Design, Kunstindustri, Møbel",Kjøpt 2009,79.5,Modernisme,"Formbøying, Laminering",58.0,2002,52.0,79.5,Stol,2000-talet,0.8259601809173075,0.6121950092468715,0.6132398128235801,5.466447360168495,0.1447015376430463
Dock High (prototype) originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2009.0117_bguw.png,1999.0,"Kryssfiner, Stål, Teak","Formbøyd fernissert teak og kryssfiner, stål",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2009.0117,NMK.2009.0117,Oslo,,2000.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2009.0117.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=09015.tif&size=full,"Design, Kunstindustri, Møbel, Prototyp",Kjøp 2009,,Modernisme,"Formbøying, Laminering",55.5,1999-2000,52.0,78.5,Stol,1900-talet,0.8341473102944118,0.6004203872722276,0.6147236323721674,5.489291524712277,0.1523497771240858
105/4,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2009.0164_bguw.png,1950.0,"Bomull, Messing, Tre","Lakkert stol, dreide ben med metallhylser, polstret sete trukket med bomullsstoff.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2009.0164,NMK.2009.0164,,,1960.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2009.0164.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=09020.tif&size=full,Møbel,Gave 2009,74.0,Funksjonalisme,"Polstring, Tapping",48.0,Ca. 1950,41.0,74.0,Stol,1900-talet,0.8236890083997166,0.6803913743588953,0.4557760001398853,5.520621473965523,0.0929100440941624
Stol (NMK.2010.0161),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2010.0161_bguw.png,1850.0,"Bomull, Eik, Metall, Silke","Fernissert og relieffskåret eik, polstret sete trukket i bomull, metallnagler",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2010.0161,NMK.2010.0161,Storbritannia,,1860.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2010.0161.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=37567.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2010,,Historisme,"Polstring, Tapping",46.0,Ca. 1850,45.0,88.0,Stol,1800-talet,0.7790643602492762,0.66761113182329,0.4346406604352951,5.345321110077615,0.1247742976939277
Sussex chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2010.0162_bguw.png,1877.0,Ask,"Sortmalt, dreid ask med stråflettet sete.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2010.0162,NMK.2010.0162,Storbritannia,,1877.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2010.0162.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=NMK.2010.0162.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2010,,Historisme,"Fletting, Plugging",39.5,1877,39.5,69.0,Stol,1800-talet,0.8216832233277955,0.8813939095575475,0.4896619615351644,5.590151927061644,0.0962128858569128
Thebes stool,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2010.0164_bguw.png,1883.0,Ask,Fernissert ask,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2010.0164,NMK.2010.0164,Storbritannia,,1883.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2010.0164.glb,,Storbritannia,https://ms01.nasjonalmuseet.no/api/objects/download?filename=37574.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2010,,Historisme,Tapping,41.5,1883,42.0,36.5,Krakk,1800-talet,0.8324241117857515,0.6007151551670523,0.7118350173271849,6.105432186478056,0.0328179797568516
Stol (NMK.2011.0001),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2011.0001_bguw.png,1885.0,"Nøttetre, Perlemor, Plysj","Nøttetre, utskåret, dreiet, marketteri, lakkert og sete av plysj",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2011.0001,NMK.2011.0001,Storbritannia,,1895.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2011.0001.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=37576.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2011,,Historisme,"Plugging, Polstring, Tapping",44.0,Ca. 1885,44.0,94.5,Stol,1800-talet,0.7652210126972862,0.6921033207099249,0.3813796744795175,5.293794817904709,0.1212895939446305
Nestor,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2011.0004_bguw.png,1958.0,"Eik, Kryssfiner, Teak, Ull","Stol i oljet teak, med sete trukket i ull.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2011.0004,NMK.2011.0004,,,1958.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2011.0004.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=37575.tif&size=full,Møbel,Kjøpt 2011,,Funksjonalisme,"Polstring, Skruing, Tapping",52.5,1958,55.0,75.0,Stol,1900-talet,0.8386796734650707,0.7641280836984721,0.6362504483298792,5.504179704309327,0.1549270330272036
Clint,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2011.0139_bguw.png,2009.0,"Plast, Skumplast, Stål, Ull","Formpresset plast, forkrommet stål og ulltrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2011.0139,NMK.2011.0139,,,2009.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2011.0139.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=35977.tif&size=full,Møbel,Gave 2011,,Samtidsdesign,"Polstring, Skruing",60.5,2009,63.0,107.0,Stol,2000-talet,0.8630117370608437,0.5830794862083036,0.5114570036697292,5.199200671211436,0.2469713004881921
Move,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2011.0140_bguw.png,1985.0,"Kryssfiner, Stål, Ull","Formpresset plast, fargelakkert stål og ulltrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2011.0140,NMK.2011.0140,,,1985.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2011.0140.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=36001.tif&size=full,Møbel,Gave 2011,,Postmodernisme,Polstring,,1985,,59.5,Stol,1900-talet,0.8752812501850521,0.6650273821617153,0.5219178479815618,5.703658897431667,0.073958819107571
Bone,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2011.0142_bguw.png,2009.0,"Eik, Kryssfiner, Lær, Stål","Fernissert eikefiner, lær og forkrommet stål.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2011.0142,NMK.2011.0142,,,2009.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2011.0142.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=35976.tif&size=full,Møbel,Gave 2011,,Samtidsdesign,"Formbøying, Laminering, Polstring, Skruing",76.0,2009,68.0,74.0,Stol,2000-talet,0.8303309924235616,0.3848612348444173,0.7331241887336413,5.563925475003899,0.0907069357838669
Modell F 17 (andre utgave),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2011.0320_bguw.png,1930.0,"Stål, Tre",Formbøyd stål trukket med kordfløyel,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2011.0320,NMK.2011.0320,,,1940.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2011.0320.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=54067.tif&size=full,Møbel,Gave 2011,41.0,Funksjonalisme,"Polstring, Skruing, Sveising, Søm",56.0,Prod. ca. 1930 (design 1929),68.0,77.0,Stol,1900-talet,0.8514761273122461,0.7449956186282009,0.6500744673979264,5.502929662913624,0.1767262546744488
Spisestuestol (NMK.2012.0160),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2012.0160_bguw.png,1890.0,Tre,"Svartlakkert stol med dreide ben, spross og dekorelementer med figurskjæring og utskjæring i relief, brodert sete.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2012.0160,NMK.2012.0160,Tyskland,,1900.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2012.0160.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=65503.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2012,45.0,Historisme,"Dreiing, Tapping",48.0,Ca. 1890,43.0,95.0,Spisestol,1800-talet,0.806207078267718,0.6036496335594765,0.4344664943239848,5.30891833158978,0.1390669227383794
Tripp Trapp skalamodell originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2012.0277_bguw.png,1999.0,"Bøk, Metall",Lakkert og formbøyd bøk,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2012.0277,NMK.2012.0277,,,1999.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2012.0277.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=NMK.2012.0277.tif&size=full,Møbel,Gave 2012,,Postmodernisme,Skruing,15.0,1999 (design 1972),16.5,26.5,Stol,1900-talet,0.8179001114054738,0.7061210316006746,0.4775631448676257,6.371872689743696,0.0044581694546158
Vang,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2013.0359_bguw.png,2013.0,Eik,Formbøyd ubehandlet eik,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2013.0359,NMK.2013.0359,,,2013.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2013.0359.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=82632.tif&size=full,"Industridesign, Møbel",Gave 2013,46.0,Samtidsdesign,"Plugging, Skruing, Tapping",46.5,2013,42.9,46.0,Stol,2000-talet,0.8501646374438736,0.7780758640148366,0.6094402550780575,5.934632772444666,0.0346413332685857
Stol (NMK.2014.0078),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2014.0078_bguw.png,1927.0,"Furu, Kryssfiner, Ull",Brunmalt furu og polstret sete trukket med ullstoff,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2014.0078,NMK.2014.0078,Lillehammer,,1927.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2014.0078.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=95732.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2014,47.5,Historisme,"Polstring, Spikring, Tapping",47.5,1927 (design) / 1928 (katalog),52.0,101.0,Stol,1900-talet,0.7757124273519069,0.5204134214761105,0.3146679183364967,5.225491565610084,0.1199107508884412
Stol (NMK.2014.0118),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2014.0118_bguw.png,1958.0,"Kryssfiner, Ull",Formbøyd og fernissert kryssfiner og ullstoff,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2014.0118,NMK.2014.0118,,,1958.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2014.0118.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=95737.tif&size=full,"Design, Industridesign, Møbel",Kjøpt 2014,,Funksjonalisme,"Laminering, Polstring, Skruing, Tapping",68.0,1958,66.0,75.0,Stol,1900-talet,0.8437053081634328,0.5713811883908854,0.717806819097769,5.541988694689677,0.1658934484550478
Stol (NMK.2014.0144),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2014.0144_bguw.png,1867.0,"Eik, Jern",Fargelakkert støpejern og eik,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2014.0144,NMK.2014.0144,England,,1867.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2014.0144.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=99454.tif&size=full,"Design, Møbel",Kjøpt 2014,,Historisme,Skruing,62.0,1867,73.5,94.0,Stol,1800-talet,0.8091267957926815,0.705012256414547,0.5905824496162974,5.328996110377008,0.2758601202601849
Stol (NMK.2014.0145),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2014.0145_bguw.png,1880.0,"Silke, Tre",Sortmalt og forgylt tre med silketrekk,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2014.0145,NMK.2014.0145,England,,1880.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2014.0145.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=117071.tif&size=full,"Design, Kunstindustri, Møbel",Kjøpt 2014,,Historisme,"Plugging, Polstring",43.2,1880,40.5,80.0,Stol,1800-talet,0.7890282123672153,0.7180228197234619,0.4927571152338924,5.437083590465225,0.1109780563772024
Stol (NMK.2015.0284),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/bguw/NMK.2015.0284_bguw.png,1904.0,"Eik, Strå",Beiset eller vokset eik med sete av flettet strå,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2015.0284,NMK.2015.0284,England,,1914.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/NMK.2015.0284.glb,,,https://ms01.nasjonalmuseet.no/api/objects/download?filename=111486.tif&size=full,"Kunstindustri, Møbel",Kjøpt 2015,,Jugend,"Fletting, Tapping",51.0,Ca. 1904,49.5,100.0,Stol,1900-talet,0.763734686534015,0.6443737243524214,0.4111677935755879,5.223123232215758,0.1639477479958909
